timestamp,local_temp,forecast_temp
2026-01-04 20:35:00,-4.48,-1.15
2026-01-04 20:38:59,24.94,-1.27
2026-01-04 20:44:59,26.31,-1.27
2026-01-04 20:49:43,25.92,-1.27
2026-01-04 21:16:35,25.25,-1.28
2026-01-04 21:46:36,24.84,-1.28
2026-01-04 22:16:36,24.84,-1.27
2026-01-05 16:51:05,17.93,-3.23
2026-01-05 16:55:04,21.12,-2.23
2026-01-05 17:25:05,26.67,-2.21
2026-01-05 17:55:05,27.6,-2.28
2026-01-05 18:18:14,24.55,-2.5
2026-01-05 20:13:25,23.43,-2.38
2026-01-05 20:19:29,23.96,-2.38
2026-01-05 20:27:44,23.98,-2.33
2026-01-05 20:29:14,23.88,-2.33
2026-01-05 20:31:03,23.84,-2.33
2026-01-05 20:40:36,23.71,-2.69
2026-01-05 20:41:34,23.85,-2.69
2026-01-05 20:42:21,23.59,-2.69
2026-01-05 20:44:56,23.29,-2.69
2026-01-05 20:47:10,22.77,-2.69
2026-01-05 20:48:01,23.14,-2.69
2026-01-05 20:48:43,24.2,-2.69
2026-01-05 21:40:38,24.45,-2.96
2026-01-05 21:46:12,24.76,-2.96
